=== dcgmi dmon ===
#Entity    TMPTR        POWER             GPUTL             MCUTL             XIDER        FBUSD
ID          C            W
GPU 0      65           775.082           97                29                43           20913
GPU 1      59           231.580           0                 0                 43           0
GPU 2      34           190.278           0                 0                 43           0
GPU 3      44           201.856           0                 0                 43           0
GPU 4      33           187.166           0                 0                 43           0
GPU 5      42           202.606           0                 0                 43           0
GPU 6      34           187.649           0                 0                 43           0
GPU 7      41           191.251           0                 0                 43           0
GPU 0      65           773.366           98                28                43           20913
GPU 1      59           231.528           0                 0                 43           0
GPU 2      34           190.304           0                 0                 43           0
GPU 3      44           201.059           0                 0                 43           0
GPU 4      33           187.143           0                 0                 43           0
GPU 5      42           202.573           0                 0                 43           0
GPU 6      34           187.717           0                 0                 43           0
GPU 7      41           191.343           0                 0                 43           0
GPU 0      66           774.315           98                28                43           20913
GPU 1      59           234.233           0                 0                 43           0
GPU 2      34           192.874           0                 0                 43           0
GPU 3      45           204.288           0                 0                 43           0
GPU 4      33           189.482           0                 0                 43           0
GPU 5      42           205.066           0                 0                 43           0
GPU 6      34           190.293           0                 0                 43           0
GPU 7      41           193.638           0                 0                 43           0
GPU 0      65           773.462           97                28                43           20913
GPU 1      59           231.622           0                 0                 43           0
GPU 2      34           190.323           0                 0                 43           0
GPU 3      45           201.136           0                 0                 43           0
GPU 4      33           187.215           0                 0                 43           0
GPU 5      42           202.637           0                 0                 43           0
GPU 6      34           187.713           0                 0                 43           0
GPU 7      41           191.366           0                 0                 43           0
GPU 0      65           772.651           98                27                43           20913
GPU 1      59           231.599           0                 0                 43           0
GPU 2      34           190.244           0                 0                 43           0
GPU 3      44           201.776           0                 0                 43           0
GPU 4      33           187.230           0                 0                 43           0
GPU 5      42           202.592           0                 0                 43           0
GPU 6      34           187.778           0                 0                 43           0
GPU 7      41           191.325           0                 0                 43           0
