=== nvidia query ===
index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks_event_reasons.active, pstate
0, GPU-c3f9bd88-bb24-8f3d-4665-888ff03c16d0, 98 %, 28 %, 20914 MiB, 183359 MiB, 64, 767.23 W, 1965 MHz, 0x0000000000000000, P0
1, GPU-eaed2f0d-2541-8ca8-b6c4-3e2e45e86619, 0 %, 0 %, 0 MiB, 183359 MiB, 59, 231.52 W, 1965 MHz, 0x0000000000000001, P0
2, GPU-1e9d22ee-6ee8-b5af-b909-1c1df26a6531, 0 %, 0 %, 0 MiB, 183359 MiB, 34, 190.21 W, 1965 MHz, 0x0000000000000001, P0
3, GPU-b7107eca-4d5c-b8cd-1a6b-61310990dd9f, 0 %, 0 %, 0 MiB, 183359 MiB, 44, 201.41 W, 1965 MHz, 0x0000000000000001, P0
4, GPU-99a059a0-8875-2b34-e42c-d2167a3293c6, 0 %, 0 %, 0 MiB, 183359 MiB, 33, 187.09 W, 1965 MHz, 0x0000000000000001, P0
5, GPU-813d5936-26d2-159c-c21b-12ecc2b4ac8f, 0 %, 0 %, 0 MiB, 183359 MiB, 42, 202.55 W, 1965 MHz, 0x0000000000000001, P0
6, GPU-4eec4163-dfe4-2397-c2f1-b82ef547f0fe, 0 %, 0 %, 0 MiB, 183359 MiB, 34, 187.69 W, 1965 MHz, 0x0000000000000001, P0
7, GPU-2c694d6a-56cd-c4ae-a6d8-724411e1fe7d, 0 %, 0 %, 0 MiB, 183359 MiB, 41, 191.30 W, 1965 MHz, 0x0000000000000001, P0
=== compute apps ===
gpu_bus_id, pid, process_name, used_gpu_memory [MiB]
00000000:8F:00.0, 2211702, python, 20900 MiB
=== dmon 5 ===
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0    765     65     62     98     28      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     40      5
    1    231     59     55      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    201     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    4    187     33     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    202     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    187     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    191     41     39      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    0    773     64     62     98     28      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     94      1
    1    231     59     56      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    201     44     43      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     33     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    5    202     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    187     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    191     41     39      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    0    765     65     61     97     27      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0      3     11
    1    231     59     55      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    201     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     33     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    202     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    6    187     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    7    191     41     39      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      1
    0    768     65     61     98     28      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     40     17
    1    231     59     55      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    190     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    201     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     33     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    202     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    187     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    191     41     39      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    0    773     64     62     97     29      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0    117      6
    1    231     59     55      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      1      1
    3    201     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     33     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    202     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    187     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    191     41     39      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
