tid	state	comm	wchan	utime	stime	oncpu_jiffies	processor	blkio_delay	voluntary	nonvoluntary
2211702	R	python	0	250254	492	250746	16	?	269	3033
2211721	S	python	0	12	0	12	180	?	4	0
2211722	S	python	0	12	0	12	74	?	1	0
2211723	S	python	0	12	0	12	183	?	1	0
2211724	S	python	0	12	0	12	185	?	1	0
2211725	S	python	0	12	0	12	191	?	1	0
2211726	S	python	0	12	0	12	197	?	1	0
2211727	S	python	0	12	0	12	201	?	1	0
2211728	S	python	0	12	0	12	202	?	1	0
2211729	S	python	0	12	0	12	205	?	1	0
2211730	S	python	0	12	0	12	210	?	1	0
2211731	S	python	0	12	0	12	163	?	1	0
2211732	S	python	0	12	0	12	165	?	1	0
2211733	S	python	0	12	0	12	171	?	1	0
2211734	S	python	0	12	0	12	173	?	1	0
2211735	S	python	0	12	0	12	175	?	1	0
2211736	S	python	0	12	0	12	71	?	1	1
2211737	S	python	0	12	0	12	76	?	1	0
2211738	S	python	0	12	0	12	195	?	1	0
2211739	S	python	0	12	0	12	203	?	1	0
2211740	S	python	0	12	0	12	208	?	1	0
2211741	S	python	0	12	0	12	209	?	1	0
2211742	S	python	0	12	0	12	211	?	1	0
2211743	S	python	0	12	0	12	214	?	1	0
2211744	S	python	0	12	0	12	167	?	1	0
2211745	S	python	0	12	0	12	177	?	1	1
2211746	S	python	0	12	0	12	49	?	1	2
2211747	S	python	0	12	0	12	33	?	1	0
2211748	S	python	0	12	0	12	148	?	2	0
2211749	S	python	0	12	0	12	158	?	1	0
2211750	S	python	0	12	0	12	24	?	2	0
2211751	S	python	0	12	0	12	150	?	1	0
2211752	S	python	0	12	0	12	135	?	1	0
2211753	S	python	0	12	0	12	161	?	1	0
2211754	S	python	0	12	0	12	111	?	1	0
2211755	S	python	0	12	0	12	10	?	1	0
2211756	S	python	0	12	0	12	6	?	1	0
2211757	S	python	0	12	0	12	131	?	1	0
2211758	S	python	0	12	0	12	11	?	1	0
2211759	S	python	0	12	0	12	20	?	1	0
2211760	S	python	0	12	0	12	136	?	1	0
2211761	S	python	0	12	0	12	17	?	1	0
2211762	S	python	0	12	0	12	38	?	1	1
2211763	S	python	0	12	0	12	8	?	1	0
2211764	S	python	0	12	0	12	156	?	1	0
2211765	S	python	0	12	0	12	46	?	1	1
2211766	S	python	0	12	0	12	155	?	1	0
2211767	S	python	0	12	0	12	149	?	1	0
2211768	S	python	0	12	0	12	81	?	1	1
2211769	S	python	0	12	0	12	147	?	1	2
2211770	S	python	0	12	0	12	73	?	1	1
2211771	S	python	0	12	0	12	152	?	1	0
2211772	S	python	0	12	0	12	45	?	1	1
2211773	S	python	0	12	0	12	188	?	2	0
2211774	S	python	0	12	0	12	194	?	1	1
2211775	S	python	0	12	0	12	19	?	1	0
2211776	S	python	0	12	0	12	198	?	1	0
2211777	S	python	0	12	0	12	98	?	1	1
2211778	S	python	0	12	0	12	5	?	1	0
2211779	S	python	0	12	0	12	160	?	2	0
2211780	S	python	0	12	0	12	207	?	1	0
2211781	S	python	0	12	0	12	172	?	1	0
2211782	S	python	0	12	0	12	0	?	1	0
2211783	S	python	0	12	0	12	126	?	1	0
2211862	S	cuda00001400006	0	0	0	0	141	?	2	0
2211884	S	jemalloc_bg_thd	0	0	0	0	126	?	1	0
2211891	S	cuda-EvtHandlr	0	32	28	60	193	?	25117	18
2211910	S	pt_tcpstore_uv	0	4	9	13	112	?	2517	4
2211911	S	pt_nccl_watchdg	0	12	15	27	184	?	25116	3
2211912	S	pt_nccl_heartbt	0	3	9	12	2	?	5025	3
2211980	S	pt_autograd_0	0	0	0	0	112	?	1	0
