#Entity    TMPTR        POWER             GPUTL             MCUTL             FBUSD
ID          C            W
GPU 0      34           192.848           0                 0                 0
GPU 1      44           212.329           0                 0                 0
GPU 2      34           192.745           0                 0                 0
GPU 3      43           202.072           0                 0                 0
GPU 4      34           197.974           0                 0                 0
GPU 5      44           210.067           0                 0                 0
GPU 6      34           190.529           0                 0                 0
GPU 7      43           194.899           0                 0                 0
GPU 0      34           190.470           0                 0                 0
GPU 1      44           209.766           0                 0                 0
GPU 2      34           190.319           0                 0                 0
GPU 3      43           198.527           0                 0                 0
GPU 4      34           195.612           0                 0                 0
GPU 5      44           207.727           0                 0                 0
GPU 6      34           187.983           0                 0                 0
GPU 7      43           192.458           0                 0                 0
GPU 0      34           190.458           0                 0                 0
GPU 1      44           209.792           0                 0                 0
GPU 2      34           190.357           0                 0                 0
GPU 3      43           199.143           0                 0                 0
GPU 4      34           195.580           0                 0                 0
GPU 5      44           207.679           0                 0                 0
GPU 6      34           187.981           0                 0                 0
GPU 7      43           192.362           0                 0                 0
