index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks_event_reasons.active
0, GPU-c3f9bd88-bb24-8f3d-4665-888ff03c16d0, 0 %, 0 %, 0 MiB, 34, 190.40 W, 1965 MHz, 0x0000000000000001
1, GPU-eaed2f0d-2541-8ca8-b6c4-3e2e45e86619, 0 %, 0 %, 0 MiB, 44, 209.79 W, 1965 MHz, 0x0000000000000001
2, GPU-1e9d22ee-6ee8-b5af-b909-1c1df26a6531, 0 %, 0 %, 0 MiB, 34, 190.29 W, 1965 MHz, 0x0000000000000001
3, GPU-b7107eca-4d5c-b8cd-1a6b-61310990dd9f, 0 %, 0 %, 0 MiB, 43, 199.38 W, 1965 MHz, 0x0000000000000001
4, GPU-99a059a0-8875-2b34-e42c-d2167a3293c6, 0 %, 0 %, 0 MiB, 34, 195.60 W, 1965 MHz, 0x0000000000000001
5, GPU-813d5936-26d2-159c-c21b-12ecc2b4ac8f, 0 %, 0 %, 0 MiB, 44, 207.68 W, 1965 MHz, 0x0000000000000001
6, GPU-4eec4163-dfe4-2397-c2f1-b82ef547f0fe, 0 %, 0 %, 0 MiB, 34, 187.94 W, 1965 MHz, 0x0000000000000001
7, GPU-2c694d6a-56cd-c4ae-a6d8-724411e1fe7d, 0 %, 0 %, 0 MiB, 43, 192.42 W, 1965 MHz, 0x0000000000000001

gpu_uuid, pid, process_name, used_gpu_memory [MiB]

# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    1    209     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      1      1
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    3    199     43     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    195     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    207     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    188     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    192     43     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    0    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    1    209     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    2    190     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    198     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    195     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    207     44     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    187     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    192     43     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    0    192     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    1    212     44     42      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    192     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    3    202     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    4    197     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    5    210     44     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    190     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    194     43     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
