=== dmon 1001-1008,1016 8 samples ===
#Entity    GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        INTAC
ID
GPU 0      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 1      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 2      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 3      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 4      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 5      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 6      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 7      N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A
GPU 0      0.973        0.889        0.333        0.000        0.227        0.000        0.434        0.006        N/A
GPU 1      0.000        0.000        0.000        0.000        N/A          N/A          0.000        0.000        0.000
GPU 2      0.201        0.003        N/A          N/A          0.000        0.000        0.000        0.000        N/A
GPU 3      N/A          0.000        0.000        N/A          0.000        N/A          0.000        0.000        N/A
GPU 4      N/A          0.000        0.000        N/A          0.000        0.000        N/A          0.000        N/A
GPU 5      0.000        0.000        0.000        N/A          N/A          N/A          0.000        N/A          N/A
GPU 6      N/A          0.000        0.000        N/A          0.000        N/A          0.000        N/A          N/A
GPU 7      N/A          0.000        N/A          N/A          0.000        N/A          N/A          0.000        N/A
GPU 0      0.974        0.888        0.332        0.000        0.226        0.000        0.440        0.006        0.177
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.201        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 0      0.974        0.889        0.332        0.000        0.226        0.000        0.439        0.006        0.176
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.201        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 0      0.973        0.888        0.333        0.000        0.227        0.000        0.440        0.006        0.177
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.202        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 0      0.974        0.889        0.330        0.000        0.225        0.000        0.434        0.005        0.175
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.202        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 0      0.973        0.888        0.334        0.000        0.227        0.000        0.434        0.006        0.177
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.202        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 0      0.974        0.889        0.332        0.000        0.226        0.000        0.447        0.006        0.176
GPU 1      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 2      0.203        0.003        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 3      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 4      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 5      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 6      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
GPU 7      0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
