#Entity    TMPTR        POWER             GPUTL             MCUTL             FBUSD
ID          C            W
GPU 0      60           753.326           98                26                20913
GPU 1      49           215.777           0                 0                 0
GPU 2      34           191.639           20                0                 829
GPU 3      43           199.738           0                 0                 0
GPU 4      34           187.607           0                 0                 0
GPU 5      43           203.679           0                 0                 0
GPU 6      34           188.057           0                 0                 0
GPU 7      42           192.411           0                 0                 0
GPU 0      59           755.100           97                27                20913
GPU 1      49           215.665           0                 0                 0
GPU 2      34           191.529           20                0                 829
GPU 3      43           198.812           0                 0                 0
GPU 4      34           187.527           0                 0                 0
GPU 5      43           203.692           0                 0                 0
GPU 6      34           188.015           0                 0                 0
GPU 7      42           192.380           0                 0                 0
GPU 0      61           752.409           98                26                20913
GPU 1      49           215.757           0                 0                 0
GPU 2      34           191.542           20                0                 829
GPU 3      43           199.213           0                 0                 0
GPU 4      34           187.561           0                 0                 0
GPU 5      43           203.566           0                 0                 0
GPU 6      34           188.088           0                 0                 0
GPU 7      42           192.408           0                 0                 0
