index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks_event_reasons.active
0, GPU-c3f9bd88-bb24-8f3d-4665-888ff03c16d0, 97 %, 26 %, 20914 MiB, 61, 749.28 W, 1965 MHz, 0x0000000000000000
1, GPU-eaed2f0d-2541-8ca8-b6c4-3e2e45e86619, 0 %, 0 %, 0 MiB, 48, 215.23 W, 1965 MHz, 0x0000000000000001
2, GPU-1e9d22ee-6ee8-b5af-b909-1c1df26a6531, 20 %, 0 %, 830 MiB, 34, 191.42 W, 1965 MHz, 0x0000000000000000
3, GPU-b7107eca-4d5c-b8cd-1a6b-61310990dd9f, 0 %, 0 %, 0 MiB, 43, 199.27 W, 1965 MHz, 0x0000000000000001
4, GPU-99a059a0-8875-2b34-e42c-d2167a3293c6, 0 %, 0 %, 0 MiB, 34, 187.59 W, 1965 MHz, 0x0000000000000001
5, GPU-813d5936-26d2-159c-c21b-12ecc2b4ac8f, 0 %, 0 %, 0 MiB, 43, 203.56 W, 1965 MHz, 0x0000000000000001
6, GPU-4eec4163-dfe4-2397-c2f1-b82ef547f0fe, 0 %, 0 %, 0 MiB, 34, 188.05 W, 1965 MHz, 0x0000000000000001
7, GPU-2c694d6a-56cd-c4ae-a6d8-724411e1fe7d, 0 %, 0 %, 0 MiB, 42, 192.39 W, 1965 MHz, 0x0000000000000001

gpu_uuid, pid, process_name, used_gpu_memory [MiB]
GPU-c3f9bd88-bb24-8f3d-4665-888ff03c16d0, 2176064, python, 20900 MiB
GPU-1e9d22ee-6ee8-b5af-b909-1c1df26a6531, 2179915, /usr/bin/python3, 816 MiB

# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0    751     59     56     97     27      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     96      4
    1    215     48     46      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    191     34     33     20      0      0      0      0      0   3996   1965      0      0    830    831      0      0      0      0    160     27
    3    199     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     34     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    203     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    188     34     32      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    192     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    0    754     60     55     98     28      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     35      7
    1    215     49     46      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    191     34     33     20      0      0      0      0      0   3996   1965      0      0    830    831      0      0      0      0    154     28
    3    198     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     34     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    203     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    188     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    7    192     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    0    754     59     56     98     27      0      0      0      0   3996   1965      0      0  20914  20915      0      0      0      0     40      5
    1    215     49     46      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    2    191     34     33     20      0      0      0      0      0   3996   1965      0      0    830    831      0      0      0      0    153     26
    3    199     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    4    187     34     31      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    5    203     43     41      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
    6    188     34     33      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      2
    7    192     42     40      0      0      0      0      0      0   3996   1965      0      0      0      1      0      0      0      0      0      0
