tid	state	comm	wchan	utime	stime	processor
2176064	R	python	0	6972	175	25
2176072	S	python	0	12	0	169
2176073	S	python	0	12	0	173
2176074	S	python	0	12	0	72
2176075	S	python	0	12	0	188
2176076	S	python	0	12	0	192
2176077	S	python	0	12	0	195
2176078	S	python	0	12	0	92
2176079	S	python	0	12	0	97
2176080	S	python	0	12	0	64
2176081	S	python	0	12	0	74
2176082	S	python	0	12	0	186
2176083	S	python	0	12	0	193
2176084	S	python	0	12	0	91
2176085	S	python	0	12	0	100
2176086	S	python	0	12	0	209
2176087	S	python	0	12	0	213
2176088	S	python	0	12	0	194
2176089	S	python	0	12	0	198
2176090	S	python	0	12	0	164
2176091	S	python	0	12	0	166
2176092	S	python	0	12	0	62
2176093	S	python	0	12	0	171
2176094	S	python	0	12	0	183
2176095	S	python	0	12	0	111
2176096	S	python	0	12	0	39
2176097	S	python	0	12	0	129
2176098	S	python	0	12	0	1
2176099	S	python	0	12	0	20
2176100	S	python	0	12	0	32
2176101	S	python	0	12	0	153
2176102	S	python	0	12	0	143
2176103	S	python	0	12	0	42
2176104	S	python	0	12	0	12
2176105	S	python	0	12	0	151
2176106	S	python	0	12	0	138
2176107	S	python	0	12	0	152
2176108	S	python	0	12	0	122
2176109	S	python	0	12	0	117
2176110	S	python	0	12	0	17
2176111	S	python	0	12	0	48
2176112	S	python	0	12	0	154
2176113	S	python	0	12	0	159
2176114	S	python	0	12	0	146
2176115	S	python	0	12	0	112
2176116	S	python	0	12	0	24
2176117	S	python	0	12	0	130
2176118	S	python	0	12	0	33
2176119	S	python	0	12	0	145
2176120	S	python	0	12	0	187
2176121	S	python	0	12	0	23
2176122	S	python	0	12	0	204
2176123	S	python	0	12	0	53
2176124	S	python	0	12	0	210
2176125	S	python	0	12	0	115
2176126	S	python	0	12	0	82
2176127	S	python	0	12	0	104
2176128	S	python	0	12	0	40
2176129	S	python	0	12	0	34
2176130	S	python	0	12	0	77
2176131	S	python	0	12	0	126
2176132	S	python	0	12	0	191
2176133	S	python	0	12	0	196
2176134	S	python	0	12	0	13
2176209	S	cuda00001c00008	0	0	0	17
2176255	S	jemalloc_bg_thd	0	0	0	22
2176336	S	cuda-EvtHandlr	0	0	0	6
2176340	S	pt_tcpstore_uv	0	0	0	132
2176341	S	pt_nccl_watchdg	0	0	0	134
2176342	S	pt_nccl_heartbt	0	0	0	134
2176348	S	pt_autograd_0	0	0	0	138
